codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6341,Relator,2024-07-03,MSF 22/2024,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 2006, o nome do Senhor LUCIANO MAZZA DE ANDRADE, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República de Singapura.",2024,CRE,Comissão de Relações Exteriores e Defesa Nacional
6341,Relator,2024-06-19,MPV 1231/2024,"Abre crédito extraordinário, em favor de Transferências a Estados, Distrito Federal e Municípios, no valor de R$ 124.060.365,00, para o fim que especifica.",2024,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
6341,Relator Ad hoc,2024-06-19,PDL 499/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Desenvolvimento Cultural e Artístico Amigos da Cidade de Jacarezinho para executar serviço de radiodifusão comunitária no Município de Jacarezinho, Estado do Paraná.",2021,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-19,PDL 165/2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Comunicação e Cultura Portal da Serra para executar serviço de radiodifusão comunitária no Município de Bom Retiro, Estado de Santa Catarina.",2019,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-19,PDL 573/2019,"Aprova o ato que outorga autorização à Associação Educadora do Movimento de Radiodifusão Comunitária de Itamaraju para executar serviço de radiodifusão comunitária no Município de Itamaraju, Estado da Bahia.",2019,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-19,PDS 181/2018,"Aprova o ato que outorga autorização à Associação Beneficente e Cultural Comunitária Itinga da Serra (Asbeculis) para executar serviço de radiodifusão comunitária no Município de Antônio Gonçalves, Estado da Bahia.",2018,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-19,PDS 160/2018,"Aprova o ato que outorga autorização à Associação Comunitária dos Amigos da Cidade de Iuiu para executar serviço de radiodifusão comunitária no Município de Iuiu, Estado da Bahia.",2018,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-19,PDS 51/2016,"Aprova o ato que outorga autorização ao INSTITUTO DE DESENVOLVIMENTO DO VALE DO JAGUARIPE para executar serviço de radiodifusão comunitária na cidade de Muniz Ferreira, Estado da Bahia.",2016,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator,2024-06-12,PL 5407/2019,"Confere o título de Capital Nacional da Dança da Chula ao Município de Lagoa Vermelha, no Estado do Rio Grande do Sul.",2019,CE,Comissão de Educação e Cultura
6341,Relator,2024-06-12,PL 3605/2023,"Confere o título de Capital Nacional da Moda de Inverno ao Município de Farroupilha, no Estado do Rio Grande do Sul.",2023,CE,Comissão de Educação e Cultura
6341,Relator Ad hoc,2024-06-12,PDL 467/2023,"Susta os efeitos do § 9º do Art. 12 do Decreto nº 11.688, de 05 de setembro de 2023, que Altera o Decreto nº 10.592, de 24 de dezembro de 2020, que regulamenta a Lei nº 11.952, de 25 de junho de 2009, para dispor sobre a regularização fundiária das áreas rurais situadas em terras da União e do Instituto Nacional de Colonização e Reforma Agrária, por meio de alienação e concessão de direito real de uso de imóveis, e sobre a destinação de terras públicas da União em consonância com os art. 188, art. 225 e art. 231 da Constituição, o art. 68 do Ato das Disposições Constitucionais Transitórias, a Lei nº 4.504, de 30 de novembro de 1964, e a Lei nº 11.284, de 2 de março de 2006, e susta os efeitos do Ofício Circular nº 1296/2023/DF/SEDE/INCRA- INCRA, em 05 de outubro de 2023, com orientações acerca das alterações na regularização fundiária, ocorridas devido à edição do Decreto 11.688, de 05 de setembro de 2023.",2023,CRA,Comissão de Agricultura e Reforma Agrária
6341,Relator Ad hoc,2024-06-12,PDL 693/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária do Desenvolvimento Cultural e Artístico de Boa Vista da Aparecida para executar serviço de radiodifusão comunitária no Município de Boa Vista da Aparecida, Estado do Paraná.",2021,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-12,PDL 679/2021,"Aprova o ato que renova a autorização outorgada à Associação Educacional e Cultural Interativa para executar serviço de radiodifusão comunitária no Município de Medianeira, Estado do Paraná.",2021,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-12,PDL 634/2021,"Aprova o ato que renova a autorização outorgada à Associação de Radiodifusão Comunitária de Ivaiporã para executar serviço de radiodifusão comunitária no Município de Ivaiporã, Estado do Paraná.",2021,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-12,PDL 754/2019,"Aprova o ato que renova a autorização outorgada à Associação Rádio Comunitária Vitória de Radiodifusão-ACVR para executar serviço de radiodifusão comunitária no Município de Contagem, Estado de Minas Gerais.",2019,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-12,PDL 324/2021,"Aprova o ato que outorga autorização à Associação de Promoção Cultural Itaberense – APACI (Nova Onda) para executar serviço de radiodifusão comunitária no Município de Itaberá, Estado de São Paulo.",2021,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-12,PDL 319/2021,"Aprova o ato que renova a autorização outorgada à ACCS - Associação Cultural e Comunicação Social para executar serviço de radiodifusão comunitária no Município de Itupeva, Estado de São Paulo.",2021,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-12,PDS 119/2015,"Aprova o ato que outorga autorização à ASSOCIAÇÃO MÃOS UNIDAS para executar serviço de radiodifusão comunitária na cidade de Auriflama, Estado de São Paulo.",2015,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator,2024-06-09,PL 1564/2024,Dispõe sobre medidas emergenciais destinadas aos setores de turismo e de cultura do Estado do Rio Grande do Sul.,2024,PLEN,Plenário do Senado Federal
6341,Relator Ad hoc,2024-06-05,PDL 576/2019,"Aprova o ato que renova a autorização outorgada à Associação Cachoeirense de Integração e Comunicação para executar serviço de radiodifusão comunitária no Município de Ouro Preto, Estado de Minas Gerais.",2019,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-05,PDL 404/2021,"Aprova o ato que renova a autorização outorgada à Associação pelo Desenvolvimento Comunitário dos Meios de Comunicação de Lebon Régis para executar serviço de radiodifusão comunitária no Município de Lebon Régis, Estado de Santa Catarina.",2021,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-05,PDS 121/2018,"Aprova o ato que renova a permissão outorgada à Rádio Cultura de Astorga S/C Ltda. para executar serviço de radiodifusão sonora em frequência modulada no Município de Astorga, Estado do Paraná.",2018,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-05,PDL 254/2023,"Aprova o ato que renova a concessão outorgada à TV Stúdios de Brasília Ltda. para explorar serviço de radiodifusão de sons e imagens em tecnologia digital em Brasília, Distrito Federal.",2023,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-05,PDL 361/2019,"Aprova o ato que renova a autorização outorgada à Associação de Desenvolvimento Comunitário de Cacimba de Dentro para executar serviço de radiodifusão comunitária no Município de Cacimba de Dentro, Estado da Paraíba.",2019,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-05,PDS 181/2017,"Aprova o ato que renova a autorização outorgada à RC FM – RÁDIO COMUNITÁRIA DE ITAMBÉ para executar serviço de radiodifusão comunitária no Município de Itambé, Estado de Pernambuco.",2017,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-05,PDL 414/2019,"Aprova o ato que renova a autorização outorgada à Associação para o Desenvolvimento Comunitário de Radiodifusão do Bairro da Assembleia de Incentivo à Cultura, Arte, Esporte e Lazer para executar serviço de radiodifusão comunitária no Município de Cruz das Almas, Estado da Bahia.",2019,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-05,PDL 630/2021,"Aprova o ato que renova a autorização outorgada à Associação Casa de Apoio à Criança e ao Adolescente para executar serviço de radiodifusão comunitária no Município de Autazes, Estado do Amazonas.",2021,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-05,PDS 203/2017,"Aprova o ato que renova a autorização outorgada à ASSOCIAÇÃO CASA DE APOIO À CRIANÇA E AO ADOLESCENTE para executar serviço de radiodifusão comunitária no Município de Autazes, Estado do Amazonas.",2017,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-06-05,PDS 408/2010,"Aprova o ato que outorga permissão à SISTEMA DE COMUNICAÇÃO SOL LTDA. para explorar serviço de radiodifusão sonora em frequência modulada na cidade de Barcelos, Estado do Amazonas.",2010,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator,2024-05-28,MSF 11/2024,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 2006, o nome do Senhor RODRIGO DE AZEREDO SANTOS, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil no Reino da Noruega e, cumulativamente, na Islândia.",2024,CRE,Comissão de Relações Exteriores e Defesa Nacional
6341,Relator,2024-05-23,PDL 354/2023,"Aprova o ato que outorga permissão à Fundação Cultural Tocantinense para explorar serviço de radiodifusão sonora em frequência modulada no Município de Bezerros, Estado de Pernambuco.",2023,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-05-22,PL 3127/2019,Dispõe sobre a castração química voluntária de reincidente em crime contra a liberdade sexual.,2019,CCJ,"Comissão de Constituição, Justiça e Cidadania"
6341,Relator Ad hoc,2024-05-22,PDL 357/2021,"Aprova o ato que renova a autorização outorgada à Fundação Manoel Paes para executar serviço de radiodifusão comunitária no Município de Brejão, Estado de Pernambuco.",2021,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-05-22,PDL 490/2019,"Aprova o ato que outorga autorização à Associação Comunitária de Radiodifusão Tabajara FM para executar serviço de radiodifusão comunitária no Município de Petrolina, Estado de Pernambuco.",2019,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-05-15,PL 1931/2021,"Altera a Lei nº 13.996, de 5 de maio de 2020, que “autoriza a prorrogação de contratos por tempo determinado no âmbito do Ministério da Agricultura, Pecuária, Abastecimento, e acrescenta dispositivo à Lei nº 9.264, de 7 de fevereiro de 1996”, para aumentar o prazo de prorrogação dos contratos temporários referidos.",2021,CRA,Comissão de Agricultura e Reforma Agrária
6341,Relator,2024-04-25,PL 1025/2024,Inscreve o nome de João Ribeiro de Barros no Livro dos Heróis e Heroínas da Pátria.,2024,CE,Comissão de Educação e Cultura
6341,Relator Ad hoc,2024-04-25,MSF 92/2023,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 2006, o nome da Senhora MARIANA GONÇALVES MADEIRA, Ministra de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixadora do Brasil na República de Gana e, cumulativamente, na República da Serra Leoa e na República da Libéria.",2023,CRE,Comissão de Relações Exteriores e Defesa Nacional
6341,Relator Ad hoc,2024-04-24,PDL 375/2022,"Aprova o ato que renova a permissão outorgada à Organização Emissoras Integradas de Radiodifusão - Rádio Melodia Ltda. para executar serviço de radiodifusão sonora em frequência modulada no Município de Petrópolis, Estado do Rio de Janeiro.",2022,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-04-24,PDL 703/2021,"Aprova o ato que renova a autorização outorgada à Associação de Assistência Comunitária de Coração de Jesus para executar serviço de radiodifusão comunitária no Município de Coração de Jesus, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-04-24,PDL 376/2022,"Aprova o ato que outorga permissão às Organizações SO de Comunicação Ltda. para explorar serviço de radiodifusão sonora em frequência modulada no Município de Jaraguá do Sul, Estado de Santa Catarina.",2022,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-04-24,PDL 500/2021,"Aprova o ato que renova a autorização outorgada ao Conselho Comunitário de Radiodifusão de Campestre para executar serviço de radiodifusão comunitária no Município de Campestre, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-04-24,PDL 90/2023,"Aprova o ato que outorga permissão à Fundação Antonio Gomes Neto para executar serviço de radiodifusão sonora em frequência modulada na cidade de Lavras da Mangabeira, Estado do Ceará.",2023,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-04-24,PDL 480/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Radiodifusão de Independência para executar serviço de radiodifusão comunitária no Município de Independência, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-04-24,PDL 949/2021,"Aprova o ato que renova a autorização outorgada à Associação Cultural Rádio Comunidade F.M. Novo Tempo para executar serviço de radiodifusão comunitária no Município de Santo Antônio das Missões, Estado do Rio Grande do Sul.",2021,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator Ad hoc,2024-04-24,PDL 594/2019,"Aprova o ato que outorga permissão à Universidade Federal do Pampa para executar serviço de radiodifusão sonora em frequência modulada no Município de Sant’ana do Livramento, Estado do Rio Grande do Sul.",2019,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator,2024-04-18,PDL 434/2022,"Aprova o ato que renova a autorização outorgada à Associação Barreirense de Cultura e Comunicação Social para executar serviço de radiodifusão comunitária no Município de Novo Barreiro, Estado do Rio Grande do Sul.",2022,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator,2024-04-18,PDL 287/2023,"Aprova o ato que outorga autorização à Associação São Chico Nas Ondas do Rádio para executar serviço de radiodifusão comunitária no Município de São Francisco de Paula, Estado do Rio Grande do Sul.",2023,CCDD,Comissão de Comunicação e Direito Digital
6341,Relator,2024-04-18,PDL 246/2023,"Aprova o ato que outorga autorização à Associação Comunitária Nordeste para executar serviço de radiodifusão comunitária no Município de Sananduva, Estado do Rio Grande do Sul.",2023,CCDD,Comissão de Comunicação e Direito Digital
