codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6027,Relator Ad hoc,2024-07-09,PL 2764/2022,"Altera a Lei nº 7.713, de 22 de dezembro de 1988, para esclarecer sobre a não incidência do Imposto sobre a Renda das Pessoas Físicas em relação a valores recebidos a título de pensão alimentícia.",2022,CAE,Comissão de Assuntos Econômicos
6027,Relator,2024-06-18,PL 1649/2024,Institui o regime especial de tributação para as obras de reconstrução de infraestrutura básica em casos de catástrofes e para obras de relevante interesse nacional.,2024,CI,Comissão de Serviços de Infraestrutura
6027,Relator,2024-06-05,PL 3971/2021,"Dispõe sobre os critérios para os reajustes e as revisões de preços dos derivados básicos de petróleo e gás natural, praticados pelas unidades produtoras ou de processamento, e sobre a alíquota do imposto de exportação de petróleo bruto e gás natural e seus derivados básicos.",2021,CAE,Comissão de Assuntos Econômicos
6027,Relator,2024-06-05,PL 3450/2021,Proíbe a vinculação dos preços dos combustíveis derivados de petróleo aos preços das cotações do dólar e do barril de petróleo no mercado internacional.,2021,CAE,Comissão de Assuntos Econômicos
6027,Relator,2024-04-24,PL 1071/2021,Regula o exercício da profissão de técnico em eletricidade e eletrotécnica e fixa seu piso salarial.,2021,CAE,Comissão de Assuntos Econômicos
6027,Relator,2024-04-24,PL 4622/2023,"Altera a Lei nº 8.256, de 25 de novembro de 1991, para incluir automóveis de passageiros, bebidas alcoólicas e perfumes no regime fiscal aplicado à entrada de mercadorias estrangeiras nas Áreas de Livre Comércio de Boa Vista – ALCBV e de Bonfim – ALCB.",2023,CAE,Comissão de Assuntos Econômicos
6027,Relator,2024-04-24,PL 3745/2023,"Acrescenta o inciso IV, ao art. 6B, da lei nº 10.260, de 12 de julho de 2001, que dispõe sobre o abatimento no saldo devedor do FIES, através de serviços, aos advogados que o fizerem nas defensorias públicas.",2023,CAE,Comissão de Assuntos Econômicos
6027,Relator,2024-03-08,PDL 67/2020,"Susta, nos termos do inciso V do art. 49 da Constituição Federal, a Portaria nº 50, de 21 de janeiro de 2016, do Ministério da Justiça/Fundação Nacional do Índio, e a Portaria nº 17, de 9 de janeiro de 2019, do Ministério da Mulher, da Família e dos Direitos Humanos/Fundação Nacional do Índio/Diretoria de Proteção Territorial.",2020,CCJ,"Comissão de Constituição, Justiça e Cidadania"
6027,Relator,2024-03-08,PL 2230/2022,Autoriza a criação do Cadastro Nacional de Animais Domésticos.,2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
6027,Relator,2024-02-08,PL 3745/2023,"Acrescenta o inciso IV, ao art. 6B, da lei nº 10.260, de 12 de julho de 2001, que dispõe sobre o abatimento no saldo devedor do FIES, através de serviços, aos advogados que o fizerem nas defensorias públicas.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
6027,Relator,2023-12-18,PLN 38/2023,"Abre ao Orçamento Fiscal da União, em favor dos Ministérios da Fazenda, da Justiça e Segurança Pública, da Defesa, das Cidades e de Portos e Aeroportos, crédito especial no valor de R$ 573.005.655,00, para os fins que especifica (alteração proposta pela Mensagem Presidencial nº 692/2023).",2023,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
6027,Relator,2023-11-08,OFS 17/2023,"Submete à apreciação do Senado Federal, nos termos do art. 130-B , inciso XIII, da Constituição Federal, a indicação da Senhora DAIANE NOGUEIRA DE LIRA, para compor o Conselho Nacional de Justiça - CNJ.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
6027,Relator,2023-11-06,PL 3144/2021,"Institui a região turística Vale do Panema como Área Especial de Interesse Turístico, nos termos que especifica.",2021,CDR,Comissão de Desenvolvimento Regional e Turismo
6027,N/I,2023-11-01,PLN 29/2023,Estima a receita e fixa a despesa da União para o exercício financeiro de 2024.,2023,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
6027,Relator,2023-10-11,PL 2210/2021,Institui a Política Nacional de Fomento ao Desenvolvimento Tecnológico da Cadeia Produtiva dos Minerais Componentes dos Elementos Terras-Raras – PADT.,2021,CMA,Comissão de Meio Ambiente
6027,Relator,2023-10-05,PL 4622/2023,"Altera a Lei nº 8.256, de 25 de novembro de 1991, para incluir automóveis de passageiros, bebidas alcoólicas e perfumes no regime fiscal aplicado à entrada de mercadorias estrangeiras nas Áreas de Livre Comércio de Boa Vista – ALCBV e de Bonfim – ALCB.",2023,CDR,Comissão de Desenvolvimento Regional e Turismo
6027,Relator,2023-08-04,PL 1030/2023,"Altera a Lei nº 9.249, de 26 de dezembro de 1995, e a Lei nº 9.532, de 10 de dezembro de 1997, para permitir que pessoa jurídica possa deduzir do imposto de renda doação a entidade sem fins lucrativos de proteção aos animais.",2023,CMA,Comissão de Meio Ambiente
6027,Relator,2023-06-21,MPV 1173/2023,"Altera o prazo previsto no art. 1º-A da Lei nº 6.321, de 14 de abril de 1976, referente à operacionalização dos serviços de pagamento e à portabilidade dos programas de alimentação do trabalhador.",2023,CMMPV 1173/2023,"Comissão Mista da Medida Provisória n° 1173, de 2023"
6027,Relator,2023-06-15,OFS 8/2023,"Submete à apreciação do Senado Federal, nos termos do art. 130-A , inciso II, da Constituição Federal, a indicação do Senhor MOACYR REY FILHO, para compor o Conselho Nacional do Ministério Público - CNMP, na vaga destinada ao Ministério Público do Distrito Federal e Territórios.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
